id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
73210679,az acr login raises DOCKER_COMMAND_ERROR with message docker daemon not running,"<p>Windows 11 with wsl2 ubuntu-22.04.</p>
<p>In Windows Terminal I open a PowerShell window and start <code>wsl</code> with command:</p>
<pre><code>wsl
</code></pre>
<p>Then I start the docker daemon in this window with the following command:</p>
<pre><code>sudo dockerd
</code></pre>
<p>It prompts for the admin password, which I enter and then it starts the daemon.</p>
<p>Next I open a new PowerShell window in Windows Terminal, run <code>wsl</code> and run a container to verify everything is working. So far so good.</p>
<p>Now I want to login to Azure Container Registry with the following command:</p>
<pre><code>az acr login -n {name_of_my_acr}
</code></pre>
<p>This returns the following error:</p>
<pre><code>You may want to use 'az acr login -n {name_of_my_acr} --expose-token' to get an access token, 
which does not require Docker to be installed.
An error occurred: DOCKER_COMMAND_ERROR
error during connect: This error may indicate that the docker daemon is not running.: 
Get &quot;http://%2F%2F.%2Fpipe%2Fdocker_engine/v1.24/containers/json&quot;: 
open //./pipe/docker_engine: The system cannot find the file specified.
</code></pre>
<p>The error suggests the daemon is not running, but since I can run a container I assume the deamon is running - otherwise I would not be able to run a container either, right? What can I do to narrow down or resolve this issue?</p>
<p>Docker version info using <code>docker -v</code> command:</p>
<pre><code>Docker version 20.10.12, build 20.10.12-0ubuntu4
</code></pre>",73247188,1,0,,2022-08-02 16:16:31.810000 UTC,,2022-08-05 09:00:14.693000 UTC,2022-08-02 16:32:13.700000 UTC,,11226740,,11226740,,1,0,azure-container-registry|docker-daemon,256
73284406,Run Azure log query from the command line with Azure CLI (az monitor),"<p>I am trying to get the Azure log query data from the CLI because we want to get the log message automatically.
For example, when we want to get exceptions message, we will got to Azure log and run the query like this</p>
<p><img src=""https://i.stack.imgur.com/jhpLn.png"" alt=""1"" /></p>
<p>However, in powershell, when I run <code>az monitor log-analytics query -w 0000000000000 --analytics-query &quot;exceptions&quot;</code>
(000 is the workspace ID)<br />
then I got an error message <code>BadArgumentError: The request had some invalid properties</code>.
But I did not get the error message when I use Azure Dashboard.</p>
<p>How would I modify my query? Or should I use a different function?</p>
<p>Thanks in advance</p>",,2,0,,2022-08-08 21:53:16.703000 UTC,,2022-08-10 04:49:20.527000 UTC,2022-08-09 08:12:13.920000 UTC,,2395282,,19123691,,1,0,azure|azure-devops|azure-application-insights|azure-log-analytics|azure-log-analytics-workspace,256
73250763,Error CS0246: The type or namespace name 'StreamingContext' could not be found (are you missing a using directive or an assembly reference?),"<p>I have these errors when trying to write this script for save and load in my game.</p>
<blockquote>
<p>Assets\Scripts\Save System\SaveData.cs(62,40): error CS0246: The type
or namespace name 'StreamingContext' could not be found (are you
missing a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveData.cs(13,31): error CS0246: The type
or namespace name 'PlaceableObjectData' could not be found (are you
missing a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveData.cs(61,6): error CS0246: The type
or namespace name 'OnDeserializedAttribute' could not be found (are
you missing a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveData.cs(61,6): error CS0246: The type
or namespace name 'OnDeserialized' could not be found (are you missing
a using directive or an assembly reference?)</p>
</blockquote>
<p>That is the script i'm working on:</p>
<pre><code>    using System;
using System.Collections;
using System.Collections.Generic;
using UnityEngine;
using System.Runtime.Serialization;


[Serializable]

public class SaveData
{
    public static int IdCount;

    public Dictionary&lt;string, PlaceableObjectsData&gt; placeableObjectDatas =
        new Dictionary&lt;string, PlaceableObjectsData&gt;();

    public static string GenerateId()
    {
        IdCount++;
        return IdCount.ToString();

    }

     public void AddData(Data data)
    {
        if (data is placeableObjectDatas plObjData)

        {

            if (placeableObjectDatas.ContainsKey(plObjData.ID))
        {
            placeableObjectDatas[plObjData.ID] = plObjData;

        }
        else
        
        {
            placeableObjectDatas.Add(plObjData.ID, plObjData);
        }

        }

   }

      public void RemoveData(Data data)
       {

        if (data is placeableObjectDatas plObjData)

        {

            if (placeableObjectDatas.ContainsKey(plObjData.ID))
            {
                placeableObjectDatas.Remove(plObjData.ID);

            }

        }

    }

    [OnDeserialized]
    internal void OnDeserializedMethod(StreamingContext context)
    {
    placeableObjectDatas ??= new Dictionary&lt;string, PlaceableObjectsData&gt;();

    }

}
</code></pre>
<p><strong>EDIT:</strong></p>
<p>This is the script for PlaceableObjectData:</p>
<pre><code>using System;
using UnityEngine;



public class PlaceableObjectsData : Data
{
    public string assetName;
    public Vector3 position;
}
</code></pre>
<p><strong>EDIT 2</strong></p>
<blockquote>
<p>Assets\Scripts\Save System\SaveSystem.cs(17,13): error CS0103: The
name 'Directory' does not exist in the current context</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(20,13): error CS0103: The
name 'Directory' does not exist in the current context</p>
<p>Assets\Scripts\Save System\SaveData.cs(26,21): error CS0246: The type
or namespace name 'placeableObjectDatas' could not be found (are you
missing a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(31,28): error CS0246: The
type or namespace name 'JsonSerializerSettings' could not be found
(are you missing a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(32,42): error CS0103: The
name 'ReferenceLoopHandling' does not exist in the current context</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(34,29): error CS0103: The
name 'JsonConvert' does not exist in the current context</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(36,19): error CS1061:
'string' does not contain a definition for 'WriteAllText' and no
accessible extension method 'WriteAllText' accepting a first argument
of type 'string' could be found (are you missing a using directive or
an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveData.cs(48,21): error CS0246: The type
or namespace name 'placeableObjectDatas' could not be found (are you
missing a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(42,22): error CS1061:
'string' does not contain a definition for 'Exists' and no accessible
extension method 'Exists' accepting a first argument of type 'string'
could be found (are you missing a using directive or an assembly
reference?)</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(45,42): error CS1061:
'string' does not contain a definition for 'ReadAllText' and no
accessible extension method 'ReadAllText' accepting a first argument
of type 'string' could be found (are you missing a using directive or
an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(47,13): error CS0246: The
type or namespace name 'saveData' could not be found (are you missing
a using directive or an assembly reference?)</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(47,31): error CS0103: The
name 'JsonConvert' does not exist in the current context</p>
<p>Assets\Scripts\Save System\SaveSystem.cs(47,61): error CS0246: The
type or namespace name 'saveData' could not be found (are you missing
a using directive or an assembly reference?)</p>
</blockquote>",73251390,1,0,,2022-08-05 13:43:25.850000 UTC,,2022-08-05 16:40:00.610000 UTC,2022-08-05 16:40:00.610000 UTC,,17654458,,17654458,,1,3,c#|unity3d,512
73406942,Google workspace account has been suspended with no recovery method,"<p>Many years ago I set up my domain so Google would manage my domain's email.  Today, possibly because I was accessing from another state, Google decides to suspend the service:</p>
<blockquote>
<p>Your organization's Google workspace account has been suspended. Please contact your Google workspace organization administrator to re-activate your organization.</p>
</blockquote>
<p>So since I'm the administrator, I try to logon with those credentials, which are correct, but they challenge me, and want me to complete an email loop, but <strong>the recovery email is in the locked domain!</strong></p>
<p>There seems to be no way to get this fixed. There's some code they can send me that I'm supposed to put my domain's server to prove I'm legit, but Google controls that...I have nothing on the domain except email. I'm paying Hover as the registrar.</p>
<p>Any way out?</p>
<p>I appreciate &quot;Only Google can help&quot;, but there's no path forward. No phone number, no button to &quot;open a ticket&quot;, no live chat. If you can't log on as administrator, none of that is available. How would a superuser get through on a problem like this?</p>
<p>There is a page that says:</p>
<blockquote>
<p>To get phone, chat, or email support for your legacy free account at xxxxxxx.com, you need to upgrade to Google Workspace.</p>
</blockquote>
<blockquote>
<p>To continue, switch to an administrator account. This will open the Google Admin console.</p>
</blockquote>
<p><a href=""https://support.google.com/a"" rel=""nofollow noreferrer"">https://support.google.com/a</a></p>
<p>But I can't log in as administrator to upgrade my account so I can get support because when I log in with correct credentials, they send a challenge to an email address that's in the locked domain!</p>
<p>I can't be the only one this happened to, so figure they're just hiding the path to victory so they don't have to answer too many phone calls.  This page might be as close as I've gotten: <a href=""https://support.google.com/a/answer/6335621"" rel=""nofollow noreferrer"">https://support.google.com/a/answer/6335621</a></p>
<p>When I try to open a support case under my non-admin account, it says</p>
<blockquote>
<p>You do not have permission to create support cases.</p>
</blockquote>
<p>I found a form to fill out: <a href=""https://support.google.com/accounts/contact/disabled2"" rel=""nofollow noreferrer"">https://support.google.com/accounts/contact/disabled2</a></p>
<p>The above form accepts any email address, so you enter any email address that you currently have access to (not one that is locked, obviously).</p>
<p>But matter what I do, they want me to prove my identity by adding something to my domain.  I've asked Hover how to do this, but have not received a response yet.</p>
<p>Here's the email Google sent</p>
<blockquote>
<p>Your action is required in order for us to assist with your request.</p>
</blockquote>
<blockquote>
<p>We were unable to verify the DNS ownership of Google Workspace Account sengsational.com. Please follow the instructions below to verify domain ownership.</p>
</blockquote>
<blockquote>
<p>The following instructions outline the DNS record (CNAME or TXT) to add to your domain settings. Learn more</p>
</blockquote>
<pre><code>Via CNAME (preferred):
    Label/Host: [eight digit number removed]
    Destination/Target: google.com
    Time to live (TTL): 3600 seconds / 60 minutes / 1 Hour

For more information on how to create a CNAME record, please refer to the article Add a CNAME record to your domain's DNS records. If you need assistance creating the CNAME record, please contact your hosting provider for support.

You can verify your CNAME record here.

Via TXT:
    Label/Host: enter @ or leave it blank
    Value/Destination: google-gws-recovery-domain-verification=[eight digit number]
    Time to live (TTL): 3600 seconds / 60 minutes / 1 Hour

For more information on how to create a TXT record, please refer to the article Verify your domain with a TXT record . If you need assistance creating the TXT record, please contact your hosting provider for support.

You can verify your TXT record here.
</code></pre>
<blockquote>
<p>Note: Updates to DNS records may take 24-48 hours to propagate across the entire internet.
In order for us to help you with the sign-up process, please follow this link and submit your request.
Best regards,
Google Workspace Support</p>
</blockquote>",73419827,1,0,,2022-08-18 17:05:12.950000 UTC,,2022-08-19 16:43:13.243000 UTC,2022-08-19 16:43:13.243000 UTC,,897007,,897007,,1,0,google-workspace,512
73200968,Mac Unity package manager error resolving packages: one or more packages could not be added to local file system,"<p>I use unity 2021.3.7f1, I was creating a new game on unity hub when i got this error message:
<a href=""https://i.stack.imgur.com/zTnk3.png"" rel=""nofollow noreferrer"">one or more packages could not be added to local file system com.unity.collab-proxy: ENOENT no such file or directory</a></p>",,1,0,,2022-08-02 01:00:36.200000 UTC,,2022-08-17 00:40:54.303000 UTC,,,,,19502695,,1,0,unity3d,257
73210586,Get list of all compartments in OCI Tenancy,"<p>I am trying to get the list of all <code>compartments</code> (including child compartments) in <code>OCI Tenancy</code> using <code>Python SDK</code>.</p>
<p>But the below <code>OCI API</code> does not give the <code>root compartment</code> details.</p>
<p>Is there a way to get <code>root compartment</code> details via any API directly?</p>
<p>Below is my code:</p>
<pre><code>import oci
from oci.config import from_file
from oci.signer import Signer

config = from_file()

COMPARTMENT_ID=&quot;ocid1.tenancy.oc1..a&quot;

identity_client = oci.identity.IdentityClient(config)

list_compartments_response = identity_client.list_compartments(
    compartment_id=COMPARTMENT_ID,
    compartment_id_in_subtree=True)

compartmentlist = list_compartments_response.data
</code></pre>
<p><code>compartmentlist</code> dict does not contain the <code>root compartment</code> details.</p>
<p>Please help.</p>
<p>Edit 1:</p>
<p><code>COMPARTMENT_ID</code> given above in the code is the <code>root compartment ID</code>. I need the details of even this <code>root compartment</code> in the final response of API.</p>",73211582,1,0,,2022-08-02 16:07:41.327000 UTC,1,2022-08-02 17:38:46.370000 UTC,2022-08-02 16:13:57.297000 UTC,,19675989,,19675989,,1,2,oracle-cloud-infrastructure|oci-python-sdk,257
73241368,VSCode Meaning of : ptyhost warning Shell integration cannot be enabled for executable,"<p>In VSCode I connect from Windows to Ubuntu via the Remote SSH extension. I can open the VSCode Terminal window for 'bash' and I get to shell in the remote server.</p>
<p>But this message shows in the Log for Remote Pty Host:<br />
<code>[ptyhost] [warning] Shell integration cannot be enabled for executable &quot;/bin/sh&quot; and args ...</code></p>
<p>The args for /bin/sh have a script for wget and fallback to curl to call :<br />
<code>--header='Metadata-Flavor:Google' http://metadata.google.internal/computeMetadata/v1/instance/id</code></p>
<p>While I don't normally use tmux, I can open that and get to shell as well. But the log shows the same warning:
<code>for executable &quot;/usr/bin/tmux&quot; and args undefined.</code></p>
<p>Bottom line: bash and tmux are working but I'm curious about the warnings, as I'm struggling with other issues related to VSCode and Remote SSH.</p>
<p>What are these ptyhost errors?<br />
What are they telling us?<br />
What should we do to fix the problem being reported?<br />
Might this affect other operations from VSCode?</p>",,0,0,,2022-08-04 19:30:47.050000 UTC,,2022-08-04 19:30:47.050000 UTC,,,,,190955,,1,0,visual-studio-code|pty|vscode-remote-ssh,257
73276629,How to preload library with ld_preload to wine(windows game)?,"<p>I want to learn how to preload and hook functions in wine running windows apps.
I'm trying to preload a library with <code>ld_preload</code> to wine(windows game(32-bit)) on Arch Linux (64-bit but I think I installed 32-bit support). I get the error <code>wrong ELF class: ELFCLASS32</code> and the same for <code>ELFCLASS64</code>.</p>
<p>Full error text:</p>
<blockquote>
<p>&quot;ERROR: ld.so: object './eve.so' from LD_PRELOAD cannot be preloaded
(wrong ELF class: ELFCLASS32): ignored.&quot;</p>
</blockquote>
<p>the same for 64bit and another one</p>
<blockquote>
<p>ERROR: ld.so: object './eve.so' from LD_PRELOAD cannot be preloaded
(cannot open shared object file): ignored.</p>
</blockquote>
<p>How am I getting &quot;wrong class&quot; when I have both 32 and 64-bit installed? What architecture do I need to make it work right?</p>
<p>Wow.exe:</p>
<blockquote>
<p>Wow.exe: PE32 executable (GUI) Intel 80386, for MS Windows</p>
</blockquote>
<p>I tried to build with and without the <code>-m32</code> flag ( I changed all <code>uint32</code> to <code>uint64</code>):</p>
<pre><code>gcc -std=c99 -Wall -Werror -m32 -O0 -fpic -shared -ldl -lGL -o eve.so eve.c
</code></pre>
<p>I saw this answer:</p>
<blockquote>
<p>ltrace /lib/ld-linux.so.2 --preload /path/to/lib/strcmp.so ./exec</p>
</blockquote>
<p>But don't know how to run it with wine running the app.</p>
<p>I want to learn how to preload and hook functions in wine running windows apps. I saw this guide:
<a href=""https://www.ownedcore.com/forums/world-of-warcraft/world-of-warcraft-bots-programs/wow-memory-editing/276206-linux-simple-injection-ld_preload.html"" rel=""nofollow noreferrer"">https://www.ownedcore.com/forums/world-of-warcraft/world-of-warcraft-bots-programs/wow-memory-editing/276206-linux-simple-injection-ld_preload.html</a></p>",,1,0,,2022-08-08 10:43:51.060000 UTC,1,2022-08-18 05:14:00.740000 UTC,2022-08-18 05:14:00.740000 UTC,,1888143,,1888143,,1,3,c|hook|ld|wine|ld-preload,257
73321062,How to install specific SDK (I need 6.0.300),"<p>I'm running WSL-Ubuntu 20.04 on windows and need to have dotnet 6.0.300.</p>
<p>I have 5.0.480 and 6.0.400 installed, but I can't figure out how to get the specific one (dotnet 6.0.300).</p>",,1,0,,2022-08-11 12:58:42.827000 UTC,,2022-08-11 22:04:07.210000 UTC,,,,,19312689,,1,0,.net|sdk|windows-subsystem-for-linux,257
73199602,Need a way to hide soft keyboard in MAUI's Editor / Entry fields,"<p>I found what seems to be useful in this link:</p>
<p><a href=""https://theconfuzedsourcecode.wordpress.com/2017/05/19/a-keyboard-disabled-entry-control-in-xamarin-forms/"" rel=""nofollow noreferrer"">A Keyboard disabled Entry control in Xamarin Forms</a></p>
<p>But it seems that it only works in Xamarin Forms. I even used it in my MAUI app, but it simply has no effect !</p>
<p>The reason I am looking to do this is because I want to enable focus on the Editor field but without triggering the soft keyboard (for a barcode scanner field)</p>
<p>Thanks.</p>",,3,0,,2022-08-01 21:04:19.373000 UTC,,2022-08-22 12:05:35.783000 UTC,,,,,10420838,,1,2,maui|.net-maui,513
